source_336_column,source_857_column,unified_name,same_meaning,same_unit,keep_for_shared_model,notes,manual_review_required
age,age,age,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
al,al,al,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
ane,ane,ane,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
appet,appet,appet,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
ba,ba,ba,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
bgr,bgr,bgr,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
bu,bu,bu,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
cad,cad,cad,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
dm,dm,dm,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
hemo,hemo,hemo,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
htn,htn,htn,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
pc,pc,pc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
pcc,pcc,pcc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
pcv,pcv,pcv,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
pe,pe,pe,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
pot,pot,pot,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
rbc,rbc,rbc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
rbcc,rbcc,rbcc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
sc,sc,sc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
sg,sg,sg,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
sod,sod,sod,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
su,su,su,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
wbcc,wbcc,wbcc,yes,yes,yes,"Retained in v1 shared schema as an exact-name cross-dataset feature. Value-level coding audit is still recommended before modeling. Exact column-name match across datasets. Confirm coding, units, and allowable values before final approval.",no
bp,bp (Diastolic),blood_pressure_candidate,uncertain,uncertain,no,"Excluded from the v1 shared schema: dataset 336 uses generic blood pressure, while dataset 857 explicitly names a diastolic field. Keep separate unless a justified harmonization rule is defined later.",no
,affected,affected,no_shared_counterpart,not_applicable,no,Present only in dataset 857. Excluded from the shared schema unless you later define a justified derivation rule.,no
,bp limit,bp_limit,no_shared_counterpart,not_applicable,no,Present only in dataset 857. Excluded from the shared schema unless you later define a justified derivation rule.,no
,grf,grf,no_shared_counterpart,not_applicable,no,Present only in dataset 857. Excluded from the shared schema unless you later define a justified derivation rule.,no
,stage,stage,no_shared_counterpart,not_applicable,no,Present only in dataset 857. Excluded from the shared schema unless you later define a justified derivation rule.,no
