feature,representation_336,representation_857,consistency_status,recommended_action,recommended_modeling_type,type_plan_notes,manual_review_required,manual_review_reasons
age,numeric_continuous,categorical_text,representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_continuous_vs_categorical_text""]"
al,numeric_low_cardinality,categorical_text,representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_categorical_text""]"
ane,binary_text_yes_no,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
appet,binary_text_good_poor,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_good_poor_vs_binary_numeric""]"
ba,binary_text_present_absent,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_present_absent_vs_binary_numeric""]"
bgr,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
bu,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
cad,binary_text_yes_no,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
dm,binary_text_yes_no,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
hemo,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
htn,binary_text_yes_no,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
pc,binary_text_normal_abnormal,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_normal_abnormal_vs_binary_numeric""]"
pcc,binary_text_present_absent,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_present_absent_vs_binary_numeric""]"
pcv,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
pe,binary_text_yes_no,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
pot,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
rbc,binary_text_normal_abnormal,binary_numeric,binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_normal_abnormal_vs_binary_numeric""]"
rbcc,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
sc,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
sg,numeric_low_cardinality,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_interval_text_bins""]"
sod,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
su,numeric_low_cardinality,categorical_text,representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_categorical_text""]"
wbcc,numeric_continuous,interval_text_bins,numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
